id,title,year,label,label_link,catalog_no,genre,links_wiki,photo_path,media,format,compilation,release_type,record_format,release_area,tracks,description,public
12,The Sea and Cake,1994,Thrill Jockey,www.thrilljockey.com,THRILL016,,,12.st.jpeg,CD,Single Disc,null,LP,,Domestic,"<p><ol>\r\n<li>Jacking the Ball</li>\r\n<li>Polio</li>\r\n<li>Bring My Car I Feel to Smash It</li>\r\n<li>Flat Lay the Water</li>\r\n<li>Choice Blanket</li>\r\n<li>Culabra Cut</li>\r\n<li>Bombay</li>\r\n<li>Showboat Angel</li>\r\n<li>So Long to the Captain</li>\r\n<li>Lost in Autumn</li>\r\n</ol></p>",,1
13,Nassau,1995,Thrill Jockey,www.thrilljockey.com,THRILL021,,,13.nassau.jpeg,CD,Single Disc,null,LP,,Domestic,"<p><ol>\r\n<li>Nature Boy</li>\r\n<li>Parasol</li>\r\n<li>A Man Who Never Sees a Pretty Girl that He Doesn\t Love Her a Little</li>\r\n<li>The World Is Against You</li>\r\n<li>Lamonts Lament</li>\r\n<li>Soft and Sleep</li>\r\n<li>The Cantina</li>\r\n<li>Earth Star</li>\r\n<li>Alone, for the Moment</li>\r\n<li>I Will Hold the Tea Bag</li>\r\n</ol></p>",,1
14,The Biz,1995,Thrill Jockey,www.thrilljockey.com,THRILL026,,,14.biz.jpeg,CD,Single Disc,null,LP,,Domestic,"<p><ol>\r\n<li>The Biz</li>\r\n<li>Leeora</li>\r\n<li>The Kiss</li>\r\n<li>Station in the Valley</li>\r\n<li>Darkest Night</li>\r\n<li>Sending</li>\r\n<li>Escort</li>\r\n<li>An Assassin</li>\r\n<li>The Transaction</li>\r\n<li>For Minor Sky</li>\r\n</ol></p>",,1
15,The Fawn,1997,Thrill Jockey,www.thrilljockey.com,THRILL039,,,15.fawn.jpeg,CD,Single Disc,null,LP,,Domestic,"<p><ol>\r\n<li>Sporting Life</li>\r\n<li>The Argument</li>\r\n<li>The Fawn</li>\r\n<li>The Ravine</li>\r\n<li>Rossignol</li>\r\n<li>There You Are</li>\r\n<li>Civilise</li>\r\n<li>Bird and Flag</li>\r\n<li>Black Tree in the Bee Yard</li>\r\n<li>Do Now Fairly Well</li>\r\n</ol></p>",,1
16,Oui,2000,Thrill Jockey,www.thrilljockey.com,THRILL086,,,16.oui.jpeg,CD,Single Disc,null,LP,,Domestic,"<p><ol>\r\n<li>Afternoon Speaker</li>\r\n<li>All the Photos</li>\r\n<li>You Beautiful Bastard</li>\r\n<li>The Colony Room</li>\r\n<li>The Leaf</li>\r\n<li>Everyday</li>\r\n<li>Two Dolphins</li>\r\n<li>Midtown</li>\r\n<li>Seemingly</li>\r\n<li>I Missed the Glance</li>\r\n</ol></p>",,1
17,One Bedroom,2002,Thrill Jockey,www.thrilljockey.com,THRILL116,,,17.onebedroom.jpeg,CD,Single Disc,null,LP,,Domestic,"<p><ol>\r\n<li>Four Corners</li>\r\n<li>Left Side Clouded</li>\r\n<li>Hotel Tell</li>\r\n<li>Le Baron</li>\r\n<li>Shoulder Length</li>\r\n<li>One Bedroom</li>\r\n<li>Interiors</li>\r\n<li>Mr. F</li>\r\n<li>Try Nothing</li>\r\n<li>Sound &amp; Vision</li>\r\n</ol></p>",,1
18,Everybody,2007,Thrill Jockey,www.thrilljockey.com,THRILL186,,,18.everybody.jpg,CD,Single Disc,null,LP,,Domestic,"<p><ol>\r\n<li>Up on Crutches</li>\r\n<li>Too Strong</li>\r\n<li>Crossing Line</li>\r\n<li>Middlenight</li>\r\n<li>Coconut</li>\r\n<li>Exact to Me</li>\r\n<li>Lightning</li>\r\n<li>Introducing</li>\r\n<li>Left On</li>\r\n<li>Transparent</li>\r\n</ol></p>",,1
19,A Digest Compendium of the Tortoise\'s World,1996,,,TKCB70932,,,.compendium.jpeg,CD,Single Disc,null,LP,,Import,"<p><ol>\r\n<li>Tin Cans &amp; Twine</li>\r\n<li>Tin Cans &amp; TwinePuerto Rican Mix)</li>\r\n<li>Alcohall</li>\r\n<li>Night Air</li>\r\n<li>Gooseneck</li>\r\n<li>Onions Wrapped in Rubber</li>\r\n<li>Spiderwebbed</li>\r\n<li>Cobnebbed</li>\r\n<li>Your New Rod</li>\r\n<li>Ry CooderThe Beer Incident)</li>\r\n<li>Not Quite East of the Ryan</li>\r\n<li>Resevoir</li>\r\n<li>Cornpone Brunch</li>\r\n<li>Whitewater</li>\r\n<li>Initial Gesture Protraction</li>\r\n</ol></p>",,1
20,Millions Now Living Will Never Die,1996,Thrill Jockey,www.thrilljockey.com,THRILL025,,Millions_now_living_will_never_die,20.mnlwnd.jpeg,CD,Single Disc,null,LP,,Domestic,"<p><ol>\r\n<li>Djed</li>\r\n<li>Glass Museum</li>\r\n<li>A Survey</li>\r\n<li>The Taut and the Tame</li>\r\n<li>Dear Grandma and Grandpa</li>\r\n<li>Along the Banks of Rivers</li>\r\n</ol></p>",,1
21,TNT,1998,Thrill Jockey,www.thrilljockey.com,THRILL050,,TNT_(Tortoise_album),21.tnt.jpeg,CD,Single Disc,null,LP,,Domestic,"<p><ol>\r\n<li>TNT</li>\r\n<li>Swung from the Gutters</li>\r\n<li>Ten-Day Interval</li>\r\n<li>I Set My Face to the Hillside</li>\r\n<li>The Equator</li>\r\n<li>A Simple Way to Go Faster Than Light That Does Not Work</li>\r\n<li>The Suspension Bridge at Iguaz&uacute; Falls</li>\r\n<li>Four-Day Interval</li>\r\n<li>In Sarah, Mencken, Christ, and Beethoven There Were Women and Men</li>\r\n<li>Almost Always Is Nearly Enough</li>\r\n<li>Jetty</li>\r\n<li>Everglade</li>\r\n</ol></p>",,1
22,Standards,2001,Thrill Jockey,www.thrilljockey.com,THRILL089,,Standards_(Tortoise_album),22.standards.jpeg,CD,Single Disc,null,LP,,Domestic,"<p><ol>\r\n<li>Seneca</li>\r\n<li>Eros</li>\r\n<li>Benway</li>\r\n<li>Firefly</li>\r\n<li>Six Pack</li>\r\n<li>Eden 2</li>\r\n<li>Monica</li>\r\n<li>Blackjack</li>\r\n<li>Eden 1</li>\r\n<li>Speakeasy</li>\r\n</ol></p>",,1
23,It\'s All Around You,2004,Thrill Jockey,www.thrilljockey.com,THRILL115,,It\s_All_Around_You,23.allaround.jpeg,CD,Single Disc,null,LP,,Domestic,"<p><ol>\r\n<li>It\'s All Around You</li>\r\n<li>The Lithium Stiffs</li>\r\n<li>Crest</li>\r\n<li>StretchYou Are All Right)</li>\r\n<li>Unknown</li>\r\n<li>Dot/Eyes</li>\r\n<li>On the Chin</li>\r\n<li>By Dawn</li>\r\n<li>Five Too Many</li>\r\n<li>Salt the Skies</li>\r\n</ol></p>",,1
24,In the Fishtank 5,1999,Konkurrent,www.konkurrent.nl,FISH5,,In_the_Fishtank_5,24.fishtank.jpeg,CD,Single Disc,null,LP,,Domestic,"<p><ol>\r\n<li>The Lawn of the Limp</li>\r\n<li>Pooh Song</li>\r\n<li>Central Heating</li>\r\n<li>Pleasure as Usual</li>\r\n<li>Did You Comb?</li>\r\n<li>Huge Hidden Spaces</li>\r\n</ol></p>",,1
25,Beacons of Ancestorship,2009,Thrill Jockey,www.thrilljockey.com,THRILL210,,Beacons_of_Ancestorship,.Beacons_Of_Ancestorship-Tortoise_480.jpg,CD,Single Disc,null,LP,,Domestic,"<p><ol>\r\n<li>High Class Slim Came Floatin\ In</li>\r\n<li>Prepare Your Coffin</li>\r\n<li>Northern Something</li>\r\n<li>Gigantes</li>\r\n<li>Penumbra</li>\r\n<li>Yinxianghechengqi</li>\r\n<li>The Fall of Seven Diamonds Plus One</li>\r\n<li>Minors</li>\r\n<li>Monument Six One Thousand</li>\r\n<li>de Chelly</li>\r\n<li>Charteroak Foundation</li>\r\n</ol></p>",,1
26,Above the Trees,2006,Hometapes,www.home-tapes.com,HT017,Alt-Country Folk Rock,,.throughtrees.jpeg,CD,Single Disc,null,LP,,Domestic,"<p><ol>\r\n<li>Red Eagle</li>\r\n<li>The Fire</li>\r\n<li>The Lake Pt. 2</li>\r\n<li>Country Witch</li>\r\n<li>Parasail</li>\r\n<li>High in the Morning</li>\r\n<li>Above the Trees</li>\r\n<li>The Lake Pt. 1</li>\r\n<li>The Pendulum</li>\r\n<li>Memory Curves</li>\r\n</ol></p>",,1
27,Wilderness,2004,Thrill Jockey,www.thrilljockey.com,THRILL149,Rock,,.wilderness.jpeg,CD,Single Disc,null,LP,,Domestic,"<p><ol>\r\n<li>Way of the Sun</li>\r\n<li>Leaders</li>\r\n<li>O, KY</li>\r\n<li>Go Away</li>\r\n<li>Judy, Judy</li>\r\n<li>No More</li>\r\n<li>Think Again</li>\r\n<li>Cheap Rhyme</li>\r\n<li>O, Lord</li>\r\n<li>Without You</li>\r\n<li>Wilderness</li>\r\n</ol></p>",,1
28,Three,2002,Thrill Jockey,www.thrilljockey.com,THRILL108,Rock,,.three.jpeg,CD,Single Disc,null,LP,,Domestic,"<p><ol>\r\n<li>Over the Line</li>\r\n<li>Tear Me All Away</li>\r\n<li>When I\m With You</li>\r\n<li>Two Can Play</li>\r\n<li>I\m Coming Over</li>\r\n<li>Gifts of Love</li>\r\n<li>Second Time Trader</li>\r\n<li>Atmosphere</li>\r\n<li>Behind Your Sun</li>\r\n<li>No Defense</li>\r\n<li>Another Day</li>\r\n<li>Sister Ice</li>\r\n<li>The Race</li>\r\n<li>The Day to Day</li>\r\n</ol></p>",,1
29,White Sky,1999,Carrot Top,www.carrottoprecords.com,SAKI022,Rock,,.whitesky.jpeg,CD,Single Disc,null,LP,,Domestic,"<p><ol>\r\n<li>Raise On High</li>\r\n<li>Shake</li>\r\n<li>White Sky</li>\r\n<li>Summer\s End</li>\r\n<li>Last Summer Days</li>\r\n<li>Walking on the Farm</li>\r\n<li>Motorcycles</li>\r\n<li>Final Season</li>\r\n<li>I\ll Be Waiting</li>\r\n</ol></p>",,1
30,In the Sun,1997,Carrot Top,www.carrottoprecords.com,SAKI015,Rock,,.inthesun.jpeg,CD,Single Disc,null,LP,,Domestic,"<p><ol>\r\n<li>Leave It Gone</li>\r\n<li>Good Man</li>\r\n<li>Rush Hour</li>\r\n<li>You Walk By</li>\r\n<li>I\m All You Know</li>\r\n<li>In the Midst</li>\r\n<li>Work</li>\r\n<li>The Best Is Yet to Come</li>\r\n<li>Moore County Run</li>\r\n<li>City Ride</li>\r\n<li>Let Me Fade Away</li>\r\n<li>In the Sun</li>\r\n</ol></p>",,1
31,Who\'s Your New Professor,2005,Thrill Jockey,www.thrilljockey.com,THRILL146,Rock,,.newprofessor.jpeg,CD,Single Disc,null,LP,,Domestic,"<p><ol>\r\n<li>Something</li>\r\n<li>Magic Step</li>\r\n<li>Dot Eye</li>\r\n<li>Two Dedications</li>\r\n<li>Chicago People</li>\r\n<li>Little Bridges</li>\r\n<li>A Splendid Hollow</li>\r\n<li>C + F</li>\r\n<li>Neighbor to Neighbor</li>\r\n<li>Density</li>\r\n<li>Between Outside</li>\r\n</ol></p>",,1
32,Sam Prekop,1999,Thrill Jockey,www.thrilljockey.com,THRILL061,Rock,,.samprekop.jpeg,CD,Single Disc,null,LP,,Domestic,"<p><ol>\r\n<li>Showrooms</li>\r\n<li>The Company</li>\r\n<li>Practice Twice</li>\r\n<li>A Cloud to the Back</li>\r\n<li>Don\t Bother</li>\r\n<li>Faces and People</li>\r\n<li>On Such Favors</li>\r\n<li>The Shadow</li>\r\n<li>Smaller Rivers</li>\r\n<li>So Shy</li>\r\n</ol></p>",,1
34,Heroic Doses,1998,Sub Pop,www.subpop.com/,SPCD432,Rock Instrumental,,.heroicdoses.jpeg,CD,Single Disc,null,LP,,Domestic,"<p><ol>\r\n<li>On the Corner</li>\r\n<li>Gimme Less Friction</li>\r\n<li>Reggie, Is It?</li>\r\n<li>Pushy Girl</li>\r\n<li>Crystals</li>\r\n<li>Heroic Theme Song</li>\r\n<li>Married to the Scene</li>\r\n<li>The Mad Spackler</li>\r\n<li>Ollie Oxen Free</li>\r\n<li>Blank Ship</li>\r\n<li>Is She Queer</li>\r\n<li>Manic Kraut Rock</li>\r\n<li>Euphonix</li>\r\n</ol></p>",,1
35,The Calendar of Unlucky Days,1999,Jade Tree,www.jadetree.com,JT1041,,,.unluckydays.jpeg,CD,Single Disc,null,LP,,Domestic,"<p><ol>\r\n<li>Bought then Sold</li>\r\n<li>Fallout</li>\r\n<li>Broken Gourd</li>\r\n<li>SU 10 #1</li>\r\n<li>Apostolic</li>\r\n<li>As Close to Cold</li>\r\n<li>Needle and Crate</li>\r\n<li>Cindy You Hate to Eat</li>\r\n<li>Wickedness</li>\r\n<li>Playboy</li>\r\n</ol></p>",,1
37,The Lakewood,2001,After Hours,,AH025,,,.lakewood.jpeg,CD,Single Disc,null,LP,,Domestic,"<p><ol>\r\n<li>The Lakewood Burning BAd Boy</li>\r\n<li>Tools of Love</li>\r\n<li>The Baldwin Wipeout</li>\r\n<li>Homodulations</li>\r\n<li>Fanfare</li>\r\n<li>Countdown</li>\r\n<li>Passing Notes</li>\r\n</ol></p>",,1
38,Hashin\' It Out,2000,Jade Tree,www.jadetree.com,JT1054,Instrumental Jazz Dub,,.hashin.jpeg,CD,Single Disc,null,LP,,Domestic,"<p><ol>\r\n<li>Gyrations</li>\r\n<li>Press On</li>\r\n<li>Where\'s the B?</li>\r\n<li>Newscast</li>\r\n<li>Bad Ascending</li>\r\n<li>Do You Up</li>\r\n<li>Oh You Ache</li>\r\n<li>Weekend</li>\r\n<li>Shut It</li>\r\n<li>Nick Is Ryan</li>\r\n<li>Honey, I\ll Be Home by Suppertime</li>\r\n<li>My Ladies Can\'t Remember the Eighties</li>\r\n<li>Confirmation of Suspicions</li>\r\n</ol></p>",,1
39,Looks at the Bird,2002,Thrill Jockey,www.thrilljockey.com,THRILL120,,,.looksatbird.jpeg,CD,Single Disc,null,LP,,Domestic,"<p><ol>\r\n<li>From the Black Current</li>\r\n<li>Lup&eacute;</li>\r\n<li>Name\s Winston, Friends Call Me James</li>\r\n<li>Everywhere Down Here</li>\r\n<li>In the Reeds</li>\r\n<li>50 Guitars</li>\r\n<li>The Suspension Bridge at Iguaz&uacute; Falls</li>\r\n<li>The Wind-Up Bird</li>\r\n<li>Pearl\s Dream</li>\r\n</ol></p>",,1
