id,title,year,label,label_link,catalog_no,genre,links_wiki,photo_path,media,format,compilation,release_type,record_format,release_area,tracks,description,public
52,Insignificance,2001,Drag City,www.dragcity.com,DC202,Rock,Insignificance_(Jim_O%27Rourke_album),.insignificance.jpeg,CD,Single Disc,null,LP,,Domestic,"<p><ol>\r\n<li>All Downhill from Here</li>\r\n<li>Insignificance</li>\r\n<li>Therefore, I Am</li>\r\n<li>Memory Lame</li>\r\n<li>Good Times</li>\r\n<li>Get a Room</li>\r\n<li>Life Goes Off</li>\r\n</ol></p>",,1
53,Live from a Shark Cage,1999,Drag City,www.dragcity.com,DC170,,Live_from_a_Shark_Cage,.livefrom.jpeg,CD,Single Disc,null,LP,,Domestic,"<p><ol>\r\n<li>Arundel</li>\r\n<li>Roadrunner</li>\r\n<li>Pink Holler</li>\r\n<li>Plastic Energy Man</li>\r\n<li>Drunken Spree</li>\r\n<li>Bups</li>\r\n<li>Crowd of One</li>\r\n<li>I Am Not Lonely with Cricket</li>\r\n<li>Knocking the Casket</li>\r\n<li>Up North Kids</li>\r\n<li>Arundel</li>\r\n</ol></p>",,1
54,Whatever, Mortal,2001,Drag City,www.dragcity.com,DC194,Acoustic Folk Rock,Whatever,_Mortal,.whatever.jpeg,CD,Single Disc,null,LP,,Domestic,"<p><ol>\r\n<li>Over Jordan</li>\r\n<li>Beloved Woman</li>\r\n<li>Roses in the Snow</li>\r\n<li>Sorrow Reigns</li>\r\n<li>Krusty</li>\r\n<li>The Lass of Roch Royal</li>\r\n<li>Many Splendored Thing</li>\r\n<li>Glad You\re Here with Me</li>\r\n<li>Tamu</li>\r\n<li>Sabotage</li>\r\n<li>Purple Eyelid</li>\r\n<li>The Unquiet Grave</li>\r\n<li>Northwest Passage</li>\r\n</ol></p>",,1
55,Hole of Burning Alms,2004,Drag City,www.dragcity.com,DC231,,,.holeofburning.jpeg,CD,Single Disc,null,LP,,Domestic,"<p><ol>\r\n<li>Safeless</li>\r\n<li>Napoleon</li>\r\n<li>Vol de Nuit</li>\r\n<li>Wedding Song No. 3</li>\r\n<li>Mountains Have Ears</li>\r\n<li>Vivea</li>\r\n<li>Last Caress</li>\r\n<li>Travels in Constants</li>\r\n<li>Up North Kids No. 2</li>\r\n<li>She Said Yes</li>\r\n<li>Turn Turn Turn</li>\r\n<li>Xmas 1997</li>\r\n</ol></p>","<p>This collection compiles vinyl singles, limited CD singles, and a couple unreleased tracks from 1995-2000.</p>",1
56,1968,2006,Drag City,www.dragcity.com,DC315,Rock,,.1968.jpeg,CD,Single Disc,null,LP,,Domestic,"<p><ol>\r\n<li>Who\s That Knocking</li>\r\n<li>Foolish King</li>\r\n<li>We Get Along, Mostly</li>\r\n<li>Prescription Blues</li>\r\n<li>Insomnia Song</li>\r\n<li>Wrong Turn</li>\r\n<li>Cyclone Eye</li>\r\n<li>Walk Through the Dark</li>\r\n<li>Let It Be Me</li>\r\n<li>I\ve Just Restored My Will to Live Again</li>\r\n</ol></p>",,1
57,Speckly,1989,AUM Fidelity,www.aumfidelity.com,AUM033,Rock,,.speckly.jpeg,CD,Single Disc,null,LP,,Domestic,"<p><ol>\r\n<li>Planter\s Song</li>\r\n<li>Seven Crows</li>\r\n<li>Melon Song</li>\r\n<li>Greenhouse</li>\r\n<li>Shady Grove</li>\r\n<li>Lemmings Leap</li>\r\n<li>An Orchid Is Not a Rose</li>\r\n<li>Triangle Song</li>\r\n<li>Green Island</li>\r\n<li>Speckly</li>\r\n<li>Houston Tower</li>\r\n<li>Drought of \43</li>\r\n<li>Hyatt Ridge Circle Dance</li>\r\n<li>Country Wagon</li>\r\n</ol></p>","<p>Originally issued by Specimen Products in an LP edition of 1,000 copies in 1989. CD edition reissued by AUM Fidelity in 2005.</p>",1
58,Cavale,1993,Bar None,www.bar-none.com,AHAON027,Rock,,.cavale.jpeg,CD,Single Disc,null,LP,,Domestic,"<p><ol>\r\n<li>Pumpkin Lover</li>\r\n<li>Duende Suite</li>\r\n<li>Line Song</li>\r\n<li>Blue Green Misery</li>\r\n<li>What Do You Think of Love</li>\r\n<li>Swinging Shell</li>\r\n<li>Creme Brulee</li>\r\n<li>I\ll Name It Sue</li>\r\n<li>Free Love Overdrive</li>\r\n<li>Dollar Bill</li>\r\n<li>Apples</li>\r\n<li>Smooth Ass</li>\r\n<li>Small Wonder</li>\r\n<li>Oranges</li>\r\n<li>Henny Penny</li>\r\n</ol></p>",,1
59,Collector of Cactus Echo Bags,1997,Thrill Jockey,www.thrilljockey.com,THRILL044,,,.cactus.jpeg,CD,Single Disc,null,LP,,Domestic,"<p><ol>\r\n<li>The Lost Oar</li>\r\n<li>Catching Flys with My Teeth</li>\r\n<li>Chasing the Wheelbarrel</li>\r\n<li>The Lonesome Organist Theme</li>\r\n<li>Ratt Advance on the Windsor Deluxe</li>\r\n<li>The Sing Song</li>\r\n<li>Let Me Be Your Man</li>\r\n<li>King of the Rail Model 1895 Trainset</li>\r\n<li>The Dragon Song</li>\r\n<li>You Be Blake</li>\r\n<li>Make Me Less Lonesome</li>\r\n<li>End of the Road</li>\r\n<li>The Wind Up Bird</li>\r\n<li>Clock Song</li>\r\n<li>6 Volt</li>\r\n<li>Tip Toe</li>\r\n<li>My First Piano</li>\r\n<li>Miel Silvestre</li>\r\n<li>Blue Stew</li>\r\n<li>Departing the Sturdy Ship</li>\r\n</ol></p>",,1
60,Forms and Follies,2003,Thrill Jockey,www.thrilljockey.com,THRILL126,,,.onemanband.jpeg,CD,Single Disc,null,LP,,Domestic,"<p><ol>\r\n<li>The Cold House Is a Harsh Mistress</li>\r\n<li>Only If I Get You</li>\r\n<li>The Moped</li>\r\n<li>Walking into Weston\s</li>\r\n<li>Who\s to Say Your Soul\s Not Carbon</li>\r\n<li>The Multiplier</li>\r\n<li>One of Me</li>\r\n<li>Blue Bellows</li>\r\n<li>The Victory of Sheila\s Nap</li>\r\n<li>The Moon Fugue</li>\r\n<li>No Place for My Kitten</li>\r\n<li>The Robot Fugue</li>\r\n<li>Four Notes</li>\r\n<li>Postlude to a Happy Ending</li>\r\n</ol></p>",,1
61,Immediate Action,2000,Hefty,www.heftyrecords.com,HEF20,,,.immediateaction.jpg,Record,Single Disc,null,EP,12,Domestic,"<p><ol>\r\n<li>Kyoshi\s Pop</li>\r\n<li>Am Nasty</li>\r\n<li>Time Makes You Suffer</li>\r\n</ol></p>",,1
62,Soldier of Fortune/We Live in the Future,2003,Thrill Jockey,www.thrilljockey.com,THRILL12.27,,,.soldieroffortune.jpg,Record,Single Disc,null,Single,12,Domestic,"<p><ol>\r\n<li>Soldier of Fortune</li>\r\n<li>We Live in the Future</li>\r\n</ol></p>",,1
63,I,1999,Tree,www.treerecords.com,TREE20,Hardcore,Gauge_(band),.gauge.jpeg,CD,Single Disc,null,LP,,Domestic,"<p><ol>\r\n<li>12.23.90</li>\r\n<li>Riverside</li>\r\n<li>Carving Belt</li>\r\n<li>Fever Edge</li>\r\n<li>Midwest</li>\r\n<li>Season</li>\r\n<li>Ironclad</li>\r\n<li>Sundown Ridge</li>\r\n<li>Crawford\s Not Looking</li>\r\n<li>Nonetheless</li>\r\n<li>Romm Number None</li>\r\n<li>Quiet</li>\r\n<li>Midori</li>\r\n<li>Rivet</li>\r\n<li>Attic Phase</li>\r\n<li>My Blue Bike</li>\r\n<li>Blunchlox</li>\r\n<li>Slug</li>\r\n<li>Feed the Dry</li>\r\n<li>Softy</li>\r\n<li>Zyzxx</li>\r\n<li>Lock-Switch Former</li>\r\n<li>Stinksmell Boy</li>\r\n</ol></p>",,1
64,fa.ce)a,2002,Crouton,www.croutonmusic.com,CROU14,,,null,CD,Single Disc,null,LP,,Domestic,"<p><ol>\r\n<li>Untitled</li>\r\n<li>Untitled</li>\r\n<li>Untitled</li>\r\n<li>Untitled</li>\r\n<li>Untitled</li>\r\n<li>Untitled</li>\r\n<li>Untitled</li>\r\n<li>mu:rder</li>\r\n</ol></p>",,1
65,Morehappyness,2003,Wishing Tree Records,,WTR020,,,.morehappyness.jpeg,CD,Single Disc,null,LP,,Domestic,"<p><ol>\r\n<li>Mister Butterfly</li>\r\n<li>Youth Is Wasted on Nothing</li>\r\n<li>Snowflake</li>\r\n<li>Colored Town</li>\r\n<li>Motorcycles</li>\r\n<li>w/o the Erte</li>\r\n<li>Little Boy</li>\r\n<li>Biplane Serpentine</li>\r\n<li>Wheat and Tare</li>\r\n<li>The Beast in the Nursery</li>\r\n</ol></p>",,1
66,Stunt,1999,Class-B,,CBD001,Hardcore,,.stunt.jpeg,CD,Single Disc,Split,LP,,Domestic,"<p><ol>\r\n<li>Fill Your Lungs with Bullets</li>\r\n<li>Fuseboxlovechuck</li>\r\n<li>Old Kentucky Style</li>\r\n<li>Greenback</li>\r\n<li>Fly High Ace!</li>\r\n<li>PPC</li>\r\n<li>Leapordy</li>\r\n<li>Message Composition Notes</li>\r\n<li>Casio Skip Beat</li>\r\n<li>Traffic Light Time Signal</li>\r\n<li>Guddommit</li>\r\n<li>Test Tube Baby</li>\r\n<li>Mutiny on the U.S.S. Robot</li>\r\n<li>Get the Fuck Out of My House</li>\r\n</ol><p>",,1
67,Black Pompadour,2007,Thrill Jockey,www.thrilljockey.com,THRILL178,,,.blackpompadour 2.jpeg,CD,Single Disc,null,LP,,Domestic,"<p><ol>\r\n<li>Head East, Kaspar</li>\r\n<li>Coward\s Corral</li>\r\n<li>Hamstrung and Juvenile</li>\r\n<li>Rice Scars</li>\r\n<li>The Mogul\s Wives</li>\r\n<li>Finished in this Business</li>\r\n<li>Burdensome Son</li>\r\n<li>Lost Solid Colours</li>\r\n<li>Dave the Slave</li>\r\n<li>Rich Libertines</li>\r\n</ol></p>",,1
68,Piano Bread,1999,Crouton,www.croutonmusic.com,CROU03,,,.pianobread.jpeg,CD,Single Disc,null,LP,,Domestic,"<p><ol>\r\n<li>Untitled</li>\r\n<li>Untitled</li>\r\n<li>Untitled</li>\r\n<li>Untitled</li>\r\n<li>Untitled</li>\r\n<li>Untitled</li>\r\n<li>Untitled</li>\r\n<li>Untitled</li>\r\n<li>Untitled</li>\r\n<li>Untitled</li>\r\n<li>Untitled</li>\r\n<li>Untitled</li>\r\n<li>Untitled</li>\r\n<li>Untitled</li>\r\n<li>Untitled</li>\r\n</ol></p>","<p>Pianobread is a 48-page novella written by Jon Mueller detailing a misguided search for things the character didn\'t even realize they were looking for. An accompanying CD contains 15 pieces of music that are completely related, and possibly unrelated, to the story.</p>",1
76,The Brave and the Bold,2005,Overcoat,,OC27,Rock,The_Brave_and_the_Bold_(album),.braveandbold.jpeg,CD,Single Disc,Split,LP,,Domestic,"<p>&nbsp;</p>\r\n<ol>\r\n<li>Cravo &eacute; Canela\r\n<li>Thunder Road\r\n<li>It\'s Expected I\'m Gone\r\n<li>Daniel\r\n<li>Love Is Love\r\n<li>Pancho\r\n<li>That\'s Pep!\r\n<li>Some Say I Got Devil\r\n<li>Cavalry Cross\r\n<li>On My Own\r\n</ol>\r\n<p>&nbsp;</p>",,1
77,Law,2006,Layered Music,www.layered.org,LR012,Rock Instrumental,,.law.jpeg,CD,Single Disc,null,LP,,Domestic,"<p><ol>\r\n<li>Atlatl</li>\r\n<li>One</li>\r\n<li>Strict Scrutiny</li>\r\n<li>Pulse Conditioner</li>\r\n<li>Interracial Dating</li>\r\n<li>Two</li>\r\n<li>Your Excellency</li>\r\n<li>Three</li>\r\n<li>Lifetime Ranger</li>\r\n<li>Four</li>\r\n<li>The Mosaicist</li>\r\n<li>Black Dove</li>\r\n<li>Five</li>\r\n<li>Merit</li>\r\n<li>Postscript</li>\r\n</ol></p>",,1
69,Gently Cupping the Chin of the Ape,2001,Thrill Jockey,www.thrilljockey.com,THRILL12.22,,,.gentlycupping.jpeg,CD,Single Disc,null,EP,,Domestic,"<p><ol>\r\n<li>Waihopai</li>\r\n<li>Peering</li>\r\n<li>Tortoise SenecaCD-ROM Video)</li>\r\n<li>Tortoise 98CD-ROM Video)</li>\r\n<li>Rehearsal 2001CD-ROM Video)</li>\r\n</ol></p>",,1
70,A Lazarus Taxon,2006,Thrill Jockey,www.thrilljockey.com,THRILL152,,,.lazarustaxon.jpeg,CD,Multi Disc,null,LP,,Domestic,"<p><ol>\r\n<li>Gamera</li>\r\n<li>The Source of Uncertainty</li>\r\n<li>Blackbird</li>\r\n<li>Sexual for Elizabeth</li>\r\n<li>To Day Retrieval</li>\r\n<li>Whitewater</li>\r\n<li>Didjeridoo</li>\r\n<li>Autumn Sweater</li>\r\n<li>Wait</li>\r\n<li>A Grape Dope</li>\r\n<li>Restless Waters</li>\r\n<li>Vaus</li>\r\n<li>Blue Station</li>\r\n<li>Madison Area</li>\r\n<li>TNT</li>\r\n<li>Why We Fight</li>\r\n<li>Elmerson, Lincoln, and Palmieri</li>\r\n<li>Peering</li>\r\n<li>Goriri</li>\r\n<li>As You Said</li>\r\n<li>CTA</li>\r\n<li>Deltitnu</li>\r\n<li>Adverse Camber</li>\r\n<li>Cliff Dweller Society</li>\r\n<li>Waihopai</li>\r\n<li>Alcohall</li>\r\n<li>Your New Rod</li>\r\n<li>Cobwebbed</li>\r\n<li>The Match Incident</li>\r\n<li>Tin Cans Puerto Rican Remix</li>\r\n<li>Not Quite East of the Ryan</li>\r\n<li>Initial Gesture Protraction</li>\r\n<li>Cornpone Brunch Watt Remix</li>\r\n<li>Salt the Skies</li>\r\n<li>Dear Grandma and Grandpa</li>\r\n<li>Glass Museum</li>\r\n<li>Seneca</li>\r\n<li>Four Day Interval</li>\r\n<li>The Suspension Bridge at Iguaz&uacute; Falls</li>\r\n<li>Live at Primavera Sound 2005</li>\r\n<li>Live in Toronto 1996</li>\r\n<li>Live at Deutches Jazz Festival 1999</li>\r\n<li>Live on \'Chic-A-Go-Go\' 2005</li>\r\n<li>Live for \'Burn to Shine\' 2004</li>\r\n</ol></p>","<p><em>Lazarus Taxon is the paleontological term for a species that disappears, then reappears in the fossil record; its namesake is this collection including rare singles from foreign releases and tour EPs, compilation tracks, previously unreleased material and the out-of-print 1995 album 'Rhythms, Resolutions & Clusters. The set contains three CDs and one DVD, which features most of Tortoise\'s music videos and extensive and rare live performance footage.</p>",1
71,One,2003,Drag City,www.dragcity.com,DC241,Rock,,.papaone.jpeg,CD,Single Disc,null,Single,,Domestic,"<p><ol>\r\n<li>Flashlight Tornado</li>\r\n<li>Beloved Woman</li>\r\n<li>I Am the Light</li>\r\n</ol></p>","<p>This is the first in a series of CD singles. It is a collection of songs written and recorded in different cities around the U.S.A.</p>",1
72,Three,2003,Drag City,www.dragcity.com,DC243,Rock,,.papathree.jpeg,CD,Single Disc,null,Single,,Domestic,"<p><ol>\r\n<li>Wild Mountain Thyme</li>\r\n<li>Truckstop Girl</li>\r\n<li>Who Knows</li>\r\n</ol></p>","<p>This is the third in a series of CD singles. It is a collection of songs written and recorded in different cities around the U.S.A.</p>",1
73,Four,2003,Drag City,www.dragcity.com,DC247,Rock,,.papafour.jpeg,CD,Single Disc,null,Single,,Domestic,"<p><ol>\r\n<li>Long May You Burn</li>\r\n<li>Red Curtains</li>\r\n<li>Local Boy Makes Good</li>\r\n</ol></p>","<p>This is the fourth in a series of CD singles. It is a collection of songs written and recorded in different cities around the U.S.A.</p>",1
74,Missing Dragons,2003,Galaxia,www.galaxia-platform.com,GLX17,,,74.missingdragons2.jpg,CD,Single Disc,null,LP,,Domestic,"<p><ol>\r\n<li>Action: Showered Us</li>\r\n<li>When You Crash Burn</li>\r\n<li>Red Hat Attack</li>\r\n<li>Inaction: Shadowed Us</li>\r\n<li>I\ll Spread It</li>\r\n<li>Hellz Bellz</li>\r\n</ol></p>",,1
75,The Unstable Molecule,1997,Thrill Jockey,www.thrilljockey.com,THRILL049,Instrumental Jazz,,.unstablemolecule.jpeg,CD,Single Disc,null,LP,,Domestic,"<p><ol>\r\n<li>Kryptonite Smokes the Red Line</li>\r\n<li>Beneath the Undertow</li>\r\n<li>La Jete&eacute;</li>\r\n<li>Phonometrics</li>\r\n<li>Prince Namor</li>\r\n<li>Audio Boxing</li>\r\n</ol></p>",,1
78,Eighth,1997,Thrill Jockey,www.thrilljockey.com,THRILL037,,,.eighth.jpeg,CD,Single Disc,null,LP,,Domestic,"<p><ol>\r\n<li>For a King</li>\r\n<li>Writes a Letter Home</li>\r\n<li>Two Smart Cookies</li>\r\n<li>Insomnia</li>\r\n<li>View from the Rim</li>\r\n<li>April</li>\r\n<li>Motion Sickness</li>\r\n<li>Last Call</li>\r\n</ol></p>",,1
79,Ursa Major,1994,Atavistic,www.atavistic.com,ALP13,,,.ursamajor.jpeg,CD,Single Disc,null,LP,,Domestic,"<p><ol>\r\n<li>History of Brokeback</li>\r\n<li>Occupation or Not</li>\r\n<li>Flutter</li>\r\n<li>Orange Moon</li>\r\n<li>Taking Leave</li>\r\n<li>Bearish on High</li>\r\n<li>Nova Zembla</li>\r\n<li>The Blindside</li>\r\n<li>Exit Right</li>\r\n</ol></p>",,1
80,Qhnnnl,2008,Southern,www.southern.com,28146,Rock Math Rock,Qhnnnl,.qhnnnl.jpeg,CD,Single Disc,null,LP,,Domestic,"<p><ol>\r\n<li>Oneone</li>\r\n<li>A Breaks B</li>\r\n<li>Qhnnnl</li>\r\n<li>Andrew Jackson</li>\r\n<li>Sprinter</li>\r\n<li>I Like Juice in a Shark Suit</li>\r\n<li>&iquest;Es Posible Fuego?</li>\r\n<li>You Might Go Off</li>\r\n<li>Snowpants</li>\r\n<li>Puma</li>\r\n<li>Song You Hate</li>\r\n<li>Mongrel</li>\r\n</ol></p>",,1
82,Reach the Rock,1998,Hefty,www.heftyrecords.com,HEF014,,,.reachtherock.jpeg,CD,Single Disc,Soundtrack,LP,,Domestic,"<p><ol>\r\n<li>In a ThimbleTortoise)</li>\r\n<li>Criminal Record</li>\r\n<li>Overview</li>\r\n<li>Stolen Car</li>\r\n<li>DriftBundy K. Brown)</li>\r\n<li>Quinn Goes to Town</li>\r\n<li>Window LightsThe Sea and Cake)</li>\r\n<li>Reverse MigrainePolvo)</li>\r\n<li>Lise Arrives</li>\r\n<li>The Kiss</li>\r\n<li>Main Title</li>\r\n<li>Dreams of Being KingDianogah)</li>\r\n</ol></p>",,1
83,Peel,1994,Carrot Top,www.carrottoprecords.com,SAKI003,Rock,,.peel.jpeg,CD,Single Disc,,LP,,Domestic,"<p><ol>\r\n<li>Miss Maple</li>\r\n<li>Peel</li>\r\n<li>And You Could</li>\r\n<li>Daylight</li>\r\n<li>Postcard</li>\r\n<li>Wicked Ways</li>\r\n<li>Weather King</li>\r\n<li>2000</li>\r\n<li>Moment of the Day</li>\r\n<li>Cottonbelt</li>\r\n<li>Even Time</li>\r\n</ol></p>",,1
84,The Coctails,1996,Carrot Top,www.carrottoprecords.com,SAKI010,Rock,,.coctails.jpeg,CD,Single Disc,,LP,,Domestic,"<p><ol>\r\n<li>When I Come Around</li>\r\n<li>Circles</li>\r\n<li>City Sun</li>\r\n<li>Cadali</li>\r\n<li>So Low</li>\r\n<li>Grace</li>\r\n<li>Starling</li>\r\n<li>Never Knew</li>\r\n<li>Low Road</li>\r\n<li>Hey</li>\r\n<li>Sun Is Down</li>\r\n<li>Cast Stones</li>\r\n<li>Last Organ</li>\r\n</ol></p>",,1
85,Live at Lounge Ax,1996,Carrot Top,www.carrottoprecords.com,SAKI013,Rock Lounge Jazz,,null,CD,Single Disc,,LP,,Domestic,"<p>&nbsp;</p>\r\n<ol>\r\n<li>Skeleton Bones</li>\r\n<li>Wood Bee</li>\r\n<li>First Snowfall</li>\r\n<li>Woopsy Daisy</li>\r\n<li>Don\t Got Time</li>\r\n<li>Even Time</li>\r\n<li>Miss Maple</li>\r\n<li>Cast Stones</li>\r\n<li>Low Road</li>\r\n<li>Cadali</li>\r\n<li>New Organ</li>\r\n<li>The Tingler</li>\r\n<li>The Penguin/Powerhouse</li>\r\n<li>Florence</li>\r\n<li>And You Could</li>\r\n<li>Wheels</li>\r\n<li>Walkin\ Down the Street</li>\r\n<li>Talkin\ \Bout My Baby</li>\r\n<li>Why</li>\r\n</ol>\r\n<p>&nbsp;</p>",,1
86,Born Again in the USA,2006,Drag City,www.dragcity.com,DC309,Rock,Born_Again_in_the_USA,null,CD,Single Disc,,LP,,Domestic,"<p><ol>\r\n<li>Hey Chicken</li>\r\n<li>The Ruling Class</li>\r\n<li>Answers to Your Questions</li>\r\n<li>Apostolic</li>\r\n<li>Stupid as the Sun</li>\r\n<li>Pretty Sparks</li>\r\n<li>An Ecumenical Matter</li>\r\n<li>Thou Shalt Wilt</li>\r\n<li>Wreckroom</li>\r\n<li>Wanted</li>\r\n</ol></p>",,1
87,Menthol,1995,Capitol,www.capitolrecords.com,CDP7243,Rock,,.menthol.jpeg,CD,Single Disc,,LP,,Domestic,"<p><ol>\r\n<li>U.S.A. Capable</li>\r\n<li>Dry HeavesOf the Well-Adorned)</li>\r\n<li>Francis Scott Key</li>\r\n<li>Stress Is Best</li>\r\n<li>Bedheaded, Redeyed, and Bewildered</li>\r\n<li>Reverent, Eyes Heavenward</li>\r\n<li>Briefcase Full of Cash</li>\r\n<li>The Ragtime Castratos</li>\r\n<li>Honorbound</li>\r\n<li>Wide-Eyed Alpha Males</li>\r\n<li>Perfect Spirals</li>\r\n<li>Codes and Ciphers</li>\r\n</ol></p>",,1
88,Pajo,2005,Drag City,www.dragcity.com,DC289,Rock Folk,,.pajo.jpeg,CD,Single Disc,,LP,,Domestic,"<p><ol>\r\n<li>Oh No No</li>\r\n<li>High Lonesome Moan</li>\r\n<li>Ten More Days</li>\r\n<li>Manson Twins</li>\r\n<li>War Is Dead</li>\r\n<li>Baby Please Come Home</li>\r\n<li>Icicles</li>\r\n<li>Mary of the Wildmoor</li>\r\n<li>Let Me Bleed</li>\r\n<li>Francie</li>\r\n</ol></p>",,1
89,When I\m Falling,2003,Truckstop,www.truckstoprecords.com,TRUCK26,Jazz,,89.whenimfalling.jpeg,CD,Single Disc,,LP,,Domestic,"<p>&nbsp;</p>\r\n<ol>\r\n<li>When I\m Falling</li>\r\n<li>Pompino</li>\r\n<li>This Can\t Go On</li>\r\n<li>Her Saving Grace</li>\r\n<li>I Can\t Forget</li>\r\n<li>Vague</li>\r\n<li>Hit and Run</li>\r\n<li>Sertraline</li>\r\n<li>This Must Be the End</li>\r\n<li>Then He Said</li>\r\n</ol>\r\n<p>&nbsp;</p>",,1
90,Airports for Light,2003,Atavistic,www.atavistic.com,ALP140,,,.airportsforlight.jpeg,CD,Single Disc,,LP,,Domestic,"<p><ol>\r\n<li>Cruz Campofor Gerhard Richter)</li>\r\n<li>Staircase (for John Cassavetes)</li>\r\n<li>7 Plus 5 (for Fredrik Ljungkvist)</li>\r\n<li>Money Down (for Rahsaan Roland Kirk)</li>\r\n<li>Both Sides (for Budd Johnson)</li>\r\n<li>Initials (for Jean Tinguely)</li>\r\n<li>Other Cuts (for Curtis Mayfield)</li>\r\n<li>Long Term Fool (for Otis Redding)</li>\r\n<li>Confluence (for Sonny Rollins)</li>\r\n</ol></p>",,1
91,Living Together,1999,Kindercore,www.kindercore.com,KC032,Rock,Living_Together,.livingtogether.jpeg,CD,Single Disc,,LP,,Domestic,"<p><ol>\r\n<li>Indiana Jones</li>\r\n<li>Lightning Tattoos</li>\r\n<li>Broadway Joe</li>\r\n<li>Where Planes Go Down</li>\r\n<li>Bee, Leave Me Be</li>\r\n<li>Tiny White Crosses</li>\r\n<li>Downtown Heart</li>\r\n<li>Old Blue</li>\r\n<li>My Favorite Legend</li>\r\n<li>These Dudes, They Got a Band</li>\r\n</ol></p>",,1
92,Amalgamated Sons of Rest,2002,Galaxia,www.galaxia-platform.com,GLX16,Folk Rock,Amalgamated_Sons_Of_Rest,.amalgamatedsons.jpeg,CD,Single Disc,,EP,,Domestic,"<p>&nbsp;</p>\r\n<ol>\r\n<li>Maa Bonny Lad</li>\r\n<li>My Donal</li>\r\n<li>The Gypsy He-Witch</li>\r\n<li>The Last House</li>\r\n<li>Major March</li>\r\n<li>Jennie Blackbird\'s Blues</li>\r\n</ol>\r\n<p>&nbsp;</p>",,1
93,The Anomoanon,2000,Palace,www.palacerecords.com,PR25,Rock Folk, Country,,.anomoanon 1.jpeg,CD,Single Disc,,LP,,Domestic,"<p><ol>\r\n<li>Going to the Sea</li>\r\n<li>Flock</li>\r\n<li>Camp</li>\r\n<li>Mermaid\'s Womb</li>\r\n<li>Baby, Baby, Baby</li>\r\n<li>Baby It\'s You</li>\r\n<li>Expect Snakes</li>\r\n<li>Wonder Better</li>\r\n<li>Window (I Can\'t See Past the...)</li>\r\n<li>On the Beach</li>\r\n</ol></p>",,1
94,I See a Darkness,1999,Palace,www.palacerecords.com,PR22,Rock Folk, Country,I_See_a_Darkness,.iseeadarkness.jpeg,CD,Single Disc,,LP,,Domestic,"<p><ol>\r\n<li>A Minor Place</li>\r\n<li>Nomadic ReveryAll Around)</li>\r\n<li>I See a Darkness</li>\r\n<li>Another Day Full of Dread</li>\r\n<li>Death to Everyone</li>\r\n<li>Knockturne</li>\r\n<li>Medeleine-Mary</li>\r\n<li>Song for the New Breed</li>\r\n<li>Today I Was an Evil One</li>\r\n<li>Black</li>\r\n<li>Raining in Darling</li>\r\n</ol></p>",,1
95,Ease Down the Road,2001,Palace,www.palacerecords.com,PR26,Rock Folk,Ease_Down_the_Road,.easedowntheroad.jpeg,CD,Single Disc,,LP,,Domestic,"<p><ol>\r\n<li>May It Always Be</li>\r\n<li>Careless Love</li>\r\n<li>A King at Night</li>\r\n<li>Just to See My Holly Home</li>\r\n<li>At Break of Day</li>\r\n<li>After I Made Love to You</li>\r\n<li>Ease Down the Road</li>\r\n<li>The Lion Lair</li>\r\n<li>Mrs. William</li>\r\n<li>Sheep</li>\r\n<li>Grand Dark Feeling of Emptiness</li>\r\n<li>Rich Wife Full of Happiness</li>\r\n</ol></p>",,1
96,Travels in Constants - Vol. 7: More Revery,2001,Temporary Residence Limited,temporaryresidence.com,TRR37,Rock Folk,More_Revery,.morerevery.jpeg,CD,Single Disc,,EP,,Domestic,"<p>&nbsp;</p>\r\n<ol>\r\n<li>Someone\'s Sleeping (John Phillips)</li>\r\n<li>Sweeter than Anything (PJ Harvey)</li>\r\n<li>Same Love that Made Me Laugh (Bill Withers)</li>\r\n<li>A Dream of the Sea (The Renderers)</li>\r\n<li>Strange Things (John Holt)</li>\r\n<li>Just to See You Smile (Tim McGraw)</li>\r\n</ol>\r\n<p>&nbsp;</p>",,1
97,Cold & Wet,2006,Drag City,www.dragcity.com,DC318,Rock Folk Country,,97.coldandwet.jpg,CD,Single Disc,,Single,,Domestic,"<p><ol>\r\n<li>Cold & Wet</li>\r\n<li>The Way</li>\r\n<li>Buried Treasure</li>\r\n</ol><p>",,1
98,Lay & Love,2007,Drag City,www.dragcity.com,DC329,Rock Folk Country,,98.layandlove.jpg,CD,Single Disc,,Single,,Domestic,"<p><ol>\r\n<li>Lay and Love</li>\r\n<li>Senor</li>\r\n<li>Going to Acapulco</li>\r\n<li>Lay and Love (CD-ROM Video)</li>\r\n</ol><p>",,1
99,Master and Everyone,2003,Drag City,www.dragcity.com,DC233/PR29,Rock Folk Country,Master_and_Everyone,.masterandeveryone.jpeg,CD,Single Disc,,LP,,Domestic,"<p>&nbsp;</p>\r\n<ol>\r\n<li>The Way</li>\r\n<li>Ain\t You Wealthy, Ain\t You Wise?</li>\r\n<li>Master and Everyone</li>\r\n<li>Wolf Among Wolves</li>\r\n<li>Joy and Jubilee</li>\r\n<li>Maundering</li>\r\n<li>Lessons from What\'s Poor</li>\r\n<li>Even If Love</li>\r\n<li>Three Questions</li>\r\n<li>Hard Life</li>\r\n</ol>\r\n<p>&nbsp;</p>",,1
