album,artist,role,contribution
Morehappyness,Kenny Sluiter,Production or Other,Recording
Stunt,Christopher Shawn Grove (Christopher Grove),Band Member,Bass, Vocals
Stunt,Andrei Cabanban,Band Member,Guitar
Stunt,Ryan Haggerty,Band Member,Drums
Stunt,Christopher Mancini,Band Member,Guitar
Stunt,Eric Bocek,Band Member,Bass
Stunt,Scott Schellhammer,Band Member,Drums
Stunt,Mike Cokinis,Guest Musician,Vocals
Stunt,Billy Smith,Guest Musician,Vocals
Stunt,Paul Obrecht,Guest Musician,Bass
Stunt,Ryan Rapsys,Guest Musician,Drums
Stunt,Marc Schwarz,Production or Other,Recording3, 5, 8, 9 Engineering3, 5, 8, 9)
Stunt,Steven T. Zydek (Steven Zydek),Production or Other,Recording4, 6, 7, 10, 13, 14)
Stunt,John McEntire,Band Member,Recording1, 2, 11, 12 Engineering1, 2, 11, 12)
Black Pompadour,Nathaniel Braddock,Band Member,Guitars, Piano
Black Pompadour,James Elkington,Band Member,Vocals, Guitars
Black Pompadour,Jason Toth,Band Member,Drums, Percussion
Black Pompadour,Nick Macri,Band Member,Bass, Saxophone
Black Pompadour,John McEntire,Production or Other,Recording, Mixing
Black Pompadour,Mark Greenberg,Production or Other,Recording
Piano Bread,Jon Mueller,Band Member,Drums
Piano Bread,John McCoy,Guest Musician,Samples1 Advanced Sound Manipulations6, 14)
Piano Bread,Jason Wietlispach,Guest Musician,Turntables1 Bass Clarinet2, 14 Accordion3 Clarinet3, 11 Reeds4 Electric Guitar7 Electric Bass8 Alto Saxophone8 Harmonica9)
Piano Bread,Dave Gelting,Guest Musician,Double Bass1, 4, 8, 11, 14)
Piano Bread,Chris Rosenau,Guest Musician,Acoustic Guitar5, 10 Banjo5, 10, 12 Keyboard5, 12 Clarinet5, 12 Bass5, 12)
Piano Bread,Rebecca Gray,Guest Musician,Vocals7, 15)
Gently Cupping the Chin of the Ape,John McEntire,Band Member,None specified
Gently Cupping the Chin of the Ape,John Herndon,Band Member,None specified
Gently Cupping the Chin of the Ape,Jeff Parker,Band Member,None specified
Gently Cupping the Chin of the Ape,Douglas McCombs,Band Member,None specified
Gently Cupping the Chin of the Ape,Dan Bitney,Band Member,None specified
A Lazarus Taxon,John McEntire,Band Member,None specified
A Lazarus Taxon,Jeff Parker,Band Member,None specified
A Lazarus Taxon,John Herndon,Band Member,None specified
A Lazarus Taxon,Douglas McCombs,Band Member,None specified
A Lazarus Taxon,Dan Bitney,Band Member,None specified
A Lazarus Taxon,David Christian Pajo,Band Member,None specified
A Lazarus Taxon,Ken Brown (Bundy K.),Band Member,None specified
One,David Christian Pajo,Band Member,None specified
One,Molly Kien,Guest Musician,Cello2)
One,Maggie Polk,Guest Musician,Violin2)
One,Jennifer Sandy,Guest Musician,Hand Trumpet2)
One,Dan Burton,Production or Other,Recording2)
Three,David Christian Pajo,Band Member,None specified
Three,Molly Kien,Guest Musician,Cello1 Vocals1)
Three,Maggie Polk,Guest Musician,Violin1 Vocals1)
Four,David Christian Pajo,Band Member,None specified
Missing Dragons,John Herndon,Band Member,None specified
Missing Dragons,Kathryn Frazier,Guest Musician,Vocals2)
Missing Dragons,Sally Timms,Guest Musician,Vocals2)
Missing Dragons,Adam Drucker (Doseone),Guest Musician,Vocals3)
The Unstable Molecule,Dan Bitney,Band Member,None specified
The Unstable Molecule,John Herndon,Band Member,None specified
The Unstable Molecule,Matt Lux,Band Member,None specified
The Unstable Molecule,Rob Mazurek,Band Member,None specified
The Unstable Molecule,Jeff Parker,Band Member,None specified
The Unstable Molecule,Sarah P. Smith,Band Member,None specified
The Unstable Molecule,Popahna 'Poppy' Brandes,Guest Musician,Cello3)
The Unstable Molecule,Ken Brown (Bundy K.),Production or Other,Recording, Mixing1, 2, 4, 5)
The Unstable Molecule,Casey Rice,Production or Other,Recording
The Unstable Molecule,John McEntire,Production or Other,Mixing6)
The Brave and the Bold,Corey Wilkes,Guest Musician,None specified
The Brave and the Bold,Aram Shelton,Guest Musician,None specified
The Brave and the Bold,Sally Timms,Guest Musician,None specified
The Brave and the Bold,Jeb Bishop,Guest Musician,None specified
The Brave and the Bold,Dan Bitney,Band Member,None specified
The Brave and the Bold,John Herndon,Band Member,None specified
The Brave and the Bold,Douglas McCombs,Band Member,None specified
The Brave and the Bold,John McEntire,Band Member,None specified
The Brave and the Bold,Will Oldham,Band Member,None specified
The Brave and the Bold,Jeff Parker,Band Member,None specified
Law,Dan Venne,Band Member,None specified
Law,Trent Johnson,Band Member,None specified
Law,D.H. Skogen,Band Member,None specified
Law,Aaron Sleator,Band Member,None specified
Law,Todd Hill,Band Member,None specified
Law,Joseph Hulbert,Band Member,None specified
Law,Christian Zamora,Guest Musician,Strings12)
Law,Satoshi Shinozaki,Production or Other,Recording12)
Law,John McEntire,Production or Other,Recording, Mixing
Eighth,Rick Rizzo,Band Member,None specified
Eighth,Janet Beveridge Bean (Janet Bean),Band Member,None specified
Eighth,Douglas McCombs,Band Member,None specified
Eighth,John McEntire,Production or Other,Recording, Mixing
Eighth,Casey Rice,Production or Other,Recording
Ursa Major,Matthew O'Bannon,Band Member,Guitar
Ursa Major,Douglas McCombs,Band Member,Bass, Bass 6, Guitar
Ursa Major,Janet Beveridge Bean (Janet Bean),Band Member,Drums, Vocals, Guitar, Percussion
Ursa Major,Rick Rizzo,Band Member,Guitar, Vocals
Ursa Major,Popahna 'Poppy' Brandes,Guest Musician,Cello
Ursa Major,John McEntire,Guest Musician,Drums, Percussion, Putney Synthesizer, Recording
Ursa Major,Ken Brown (Bundy K.),Guest Musician,Guitar
Ursa Major,Brad Wood,Production or Other,Mixing
Ursa Major,Casey Rice,Production or Other,Recording5 Mixing5)
Qhnnnl,Stephanie Morris,Guest Musician,Vocals2, 5, 7)
Qhnnnl,Mark Greenberg,Guest Musician,Keyboard4, 8, 9 Vocals8 Recording
Qhnnnl,Andrew Bird,Guest Musician,Violin2, 4, 5, 7)
Qhnnnl,Billy Smith,Guest Musician,Guitar11 Vocals8)
Qhnnnl,Kip McCabe,Band Member,None specified
Qhnnnl,Jason Harvey,Band Member,None specified
Qhnnnl,Jay Ryan,Band Member,None specified
Qhnnnl,John McEntire,Production or Other,Recording, Mixing
Reach the Rock,John McEntire,null,null
Reach the Rock,Ken Brown (Bundy K.),null,null
Reach the Rock,Robert Weston IV (Bob Weston),null,null
Peel,Archer Prewitt,null,null
Peel,John Upchurch (Upturch),null,null
Peel,Mark Greenberg,null,null
Peel,Barry Phipps,null,null
Peel,Marnie Christensen,null,null
Peel,Mitch Straeffer,null,null
Peel,Stuart Moxham,null,null
Peel,Robert Weston IV (Bob Weston),null,null
The Coctails,Archer Prewitt,null,null
The Coctails,John Upchurch (Upturch),null,null
The Coctails,Mark Greenberg,null,null
The Coctails,Barry Phipps,null,null
The Coctails,Dave Max Crawford,null,null
The Coctails,Marnie Christensen,null,null
The Coctails,Mitch Straeffer,null,null
The Coctails,Amalea 'Lea' Tshilds,null,null
The Coctails,Matt Robinson,null,null
The Coctails,Robert Weston IV (Bob Weston),null,null
The Coctails,Stuart Moxham,null,null
Live at Lounge Ax,Archer Prewitt,null,null
Live at Lounge Ax,Mark Greenberg,null,null
Live at Lounge Ax,John Upchurch (Upturch),null,null
Live at Lounge Ax,Barry Phipps,null,null
Live at Lounge Ax,Mike Hagler,null,null
Live at Lounge Ax,Dave Trumfio,null,null
Live at Lounge Ax,Robert Weston IV (Bob Weston),null,null
Born Again in the USA,Jim O'Rourke,null,null
Born Again in the USA,Glenn Kotche,null,null
Born Again in the USA,Jeffrey Scot Tweedy (Jeff Tweedy),null,null
Born Again in the USA,Jeremy Lemos,null,null
Born Again in the USA,T.J. Doherty,null,null
Menthol,Balthazar de Lay,null,null
Menthol,Colin Koteles,null,null
Menthol,Joel Spencer,null,null
Menthol,Brad Wood,null,null
Menthol,Jeff Tomei,null,null
Pajo,David Christian Pajo,null,null
When Im Falling,Jeb Bishop,null,null
When Im Falling,Fred Lonberg-Holm,null,null
When Im Falling,Jason Roebke,null,null
When Im Falling,Ben Vida,null,null
When Im Falling,John McCortney,null,null
Airports for Light,Ken Vandermark,null,null
Airports for Light,Jeb Bishop,null,null
Airports for Light,Tim Daisy,null,null
Airports for Light,Kent Kessler,null,null
Airports for Light,Dave Rempis,null,null
Airports for Light,Robert Weston IV (Bob Weston),null,null
Living Together,Chris Rosenau,null,null
Living Together,Dan Didier,null,null
Living Together,Davey von Bohlen,null,null
Living Together,Jim Minor,null,null
Living Together,Jon Mueller,null,null
Amalgamated Sons of Rest,Alasdair Roberts,null,null
Amalgamated Sons of Rest,Jason Molina,null,null
Amalgamated Sons of Rest,Will Oldham,null,null
Amalgamated Sons of Rest,Paul Oldham,null,null
The Anomoanon,Aram Stith,null,null
The Anomoanon,Jason Stith,null,null
The Anomoanon,Jack Carneal,null,null
The Anomoanon,Willy Maclean,null,null
The Anomoanon,Ned Oldham,null,null
The Anomoanon,Paul Oldham,null,null
The Anomoanon,Davey Williams,null,null
The Anomoanon,Ed Reynolds,null,null
The Anomoanon,Randall Shurbett,null,null
The Anomoanon,Mike Portera,null,null
I See a Darkness,Will Oldham,null,null
I See a Darkness,Bob Arellano,null,null
I See a Darkness,Colin Gagnon,null,null
I See a Darkness,Paul Oldham,null,null
I See a Darkness,Peter Townsend,null,null
I See a Darkness,David Christian Pajo,null,null
Ease Down the Road,Will Oldham,null,null
Ease Down the Road,Ned Oldham,null,null
Ease Down the Road,Todd Brashear,null,null
Ease Down the Road,Matt Everett,null,null
Ease Down the Road,Mike Fellows,null,null
Ease Down the Road,Paul Greenlaw,null,null
Ease Down the Road,Harmony Korine,null,null
Ease Down the Road,Catherine Irwin,null,null
Ease Down the Road,Bryan Rich,null,null
Ease Down the Road,Matt Sweeney,null,null
Ease Down the Road,Jon Theodore,null,null
Ease Down the Road,David Christian Pajo,null,null
Ease Down the Road,Paul Oldham,null,null
More Revery,Bob Arellano,null,null
More Revery,Red Fellows,null,null
More Revery,Joe Prop (Smoking Joe Prop),null,null
More Revery,Colin Gagnon,null,null
Cold & Wet,Emmett Kelly,null,null
Cold & Wet,Will Oldham,null,null
Cold & Wet,Valgeir Sigurdsson,null,null
Cold & Wet,David Bird,null,null
Cold & Wet,Ryder McNair,null,null
Cold & Wet,(Sara Beck (Pink Nasty)),null,null
Cold & Wet,Paul Oldham,null,null
Cold & Wet,Matt Sweeney,null,null
Cold & Wet,Peter Townsend,null,null
Cold & Wet,Kris Poulin,null,null
Cold & Wet,Ben Chasny,null,null
Cold & Wet,Alex Nielson,null,null
Lay & Love,Paul Oldham,null,null
Lay & Love,Jim White,null,null
Lay & Love,Emmett Kelly,null,null
Lay & Love,Dawn McCarthy,null,null
Lay & Love,Valgeir Sigurdsson,null,null
Lay & Love,Todd Brashear,null,null
Lay & Love,Jason Tiemann,null,null
Lay & Love,Chris Fortner,null,null
Lay & Love,Craig Wagner,null,null
Lay & Love,Jacob Dunean,null,null
Lay & Love,Quiton Sharpenstein,null,null
Lay & Love,Hunt Butler,null,null
Lay & Love,Tom Jolly,null,null
Lay & Love,Will Oldham,null,null
Master and Everyone,Will Oldham,null,null
Master and Everyone,Paul Oldham,null,null
Master and Everyone,Tony Crow,null,null
Master and Everyone,William Tyler,null,null
Master and Everyone,Matt Swanson,null,null
Master and Everyone,Gary Lee Tussing (Gary Tussing),null,null
Master and Everyone,Marty Slayton,null,null
Master and Everyone,John Kelton,null,null
Master and Everyone,Mark Nevers,null,null
Summer in the Southeast,Will Oldham,null,null
Summer in the Southeast,David Bird,null,null
Summer in the Southeast,Ryder McNair,null,null
Summer in the Southeast,(Sara Beck (Pink Nasty)),null,null
Summer in the Southeast,Paul Oldham,null,null
Summer in the Southeast,Matt Sweeney,null,null
Summer in the Southeast,Peter Townsend,null,null
Summer in the Southeast,Aram Stith,null,null
Summer in the Southeast,Kris Poulin,null,null
Superwolf,Will Oldham,null,null
Superwolf,Matt Sweeney,null,null
Superwolf,Peter Townsend,null,null
Superwolf,Sue Schofield,null,null
Superwolf,Paul Oldham,null,null
Ask Forgiveness,Will Oldham,null,null
Ask Forgiveness,Meg Baird,null,null
Ask Forgiveness,Greg Weeks,null,null
Ask Forgiveness,Margie Wienk,null,null
Long Sound,Barry Phipps,null,null
Long Sound,John Upchurch (Upturch),null,null
Long Sound,Mark Greenberg,null,null
Long Sound,Archer Prewitt,null,null
Long Sound,Dave Max Crawford,null,null
Long Sound,Ken Vandermark,null,null
Long Sound,Hal Russell,null,null
Long Sound,Blaise Barton,null,null
Long Sound,Brian Paulson,null,null
Cursed Sleep,Will Oldham,null,null
Cursed Sleep,Dawn McCarthy,null,null
Cursed Sleep,Paul Oldham,null,null
Cursed Sleep,Jim White,null,null
Cursed Sleep,Valgeir Sigurdsson,null,null
Cursed Sleep,Nico Mulhy,null,null
Cursed Sleep,Ryder McNair,null,null
Cursed Sleep,Una Sveinbjarnardottir,null,null
Cursed Sleep,Greta Gudnadottir,null,null
Cursed Sleep,Thorunn Osk Marinosdottir (Thorunn Marinosdottir),null,null
Cursed Sleep,Hrafnkell Orri Egilsson (Hrafnkell Egilsson),null,null
Joya,Will Oldham,null,null
Joya,Bob Arellano,null,null
Joya,Colin Gagnon,null,null
Joya,David Christian Pajo,null,null
Joya,Dan Koretzky,null,null
Joya,Rian Murphy,null,null
Joya,Chris Shepard,null,null
Guarapero: Lost Blues 2,Will Oldham,null,null
Guarapero: Lost Blues 2,Steve Albini,null,null
Guarapero: Lost Blues 2,Bob Arellano,null,null
Guarapero: Lost Blues 2,Grant Barger,null,null
Guarapero: Lost Blues 2,Todd Brashear,null,null
Guarapero: Lost Blues 2,Colin Gagnon,null,null
Guarapero: Lost Blues 2,David Grubbs,null,null
Guarapero: Lost Blues 2,Pooh Johnston,null,null
Guarapero: Lost Blues 2,Rian Murphy,null,null
Guarapero: Lost Blues 2,Ned Oldham,null,null
Guarapero: Lost Blues 2,Paul Oldham,null,null
Guarapero: Lost Blues 2,David Christian Pajo,null,null
Guarapero: Lost Blues 2,Tiffany Pounders,null,null
Guarapero: Lost Blues 2,Henrique Prince,null,null
Guarapero: Lost Blues 2,Bryan Rich,null,null
Guarapero: Lost Blues 2,Charlie Snell,null,null
Guarapero: Lost Blues 2,Jason Stith,null,null
Guarapero: Lost Blues 2,Mick Turner,null,null
Guarapero: Lost Blues 2,Jim White,null,null
Days in the Wake,Will Oldham,null,null
Days in the Wake,Tinka Darling,null,null
Days in the Wake,Roy Black,null,null
Days in the Wake,J.F. Kampschaeffer,null,null
Days in the Wake,Ned Oldham,null,null
Days in the Wake,Paul Oldham,null,null
‘We All, Us Three, Will Ride’,Will Oldham,null,null
‘We All, Us Three, Will Ride’,Sarah Devincentis,null,null
‘We All, Us Three, Will Ride’,Rob Kiewswetter,null,null
‘We All, Us Three, Will Ride’,Paul Oldham,null,null
‘We All, Us Three, Will Ride’,Bryan Rich,null,null
‘We All, Us Three, Will Ride’,Aram Stith,null,null
‘We All, Us Three, Will Ride’,Peter Townsend,null,null
‘We All, Us Three, Will Ride’,Marco Martin,null,null
Viva Last Blues,Jason Loewenstein,null,null
Viva Last Blues,Liam Hayes,null,null
Viva Last Blues,Ned Oldham,null,null
Viva Last Blues,Will Oldham,null,null
Viva Last Blues,Bryan Rich,null,null
Viva Last Blues,Steve Albini,null,null
5,Mayo Thompson,null,null
Collections of Colonies of Bees,Chris Rosenau,null,null
Collections of Colonies of Bees,Jon Mueller,null,null
Everybody,Brian Paulson,null,null
Standards,John McEntire,null,null
Standards,Douglas McCombs,null,null
Standards,Jeff Parker,null,null
Standards,John Herndon,null,null
Standards,Dan Bitney,null,null
Arise Therefore,David Grubbs,null,null
Arise Therefore,Ned Oldham,null,null
Arise Therefore,Will Oldham,null,null
Arise Therefore,Maya Tone,null,null
Arise Therefore,Steve Albini,null,null
Songs About Fucking,Steve Albini,null,null
Songs About Fucking,Melvin Belli,null,null
Songs About Fucking,David Michael Riley (David Riley),null,null
Mars Audiac Quintet,Duncan Brown,null,null
Mars Audiac Quintet,Tim Gane,null,null
Mars Audiac Quintet,Katharine Gifford,null,null
Mars Audiac Quintet,Mary Hansen,null,null
Mars Audiac Quintet,Andy Ramsay,null,null
Mars Audiac Quintet,Laetitia Sadier,null,null
Mars Audiac Quintet,Sean O'Hagan,null,null
Mars Audiac Quintet,Vera Daucher,null,null
Mars Audiac Quintet,Jean-Baptiste Garnero,null,null
Mars Audiac Quintet,Andy Robinson,null,null
Mars Audiac Quintet,Alan Carter,null,null
Mars Audiac Quintet,Lindsay Low,null,null
Mars Audiac Quintet,Paul Tipler,null,null
Rainer Maria,Kyle Fischer,null,null
Rainer Maria,Caithlin Demarrais,null,null
Rainer Maria,Bill Kuehn (aka William Kuehn),null,null
Teaching the History of Teaching Geography,Chris Rosenau,null,null
Teaching the History of Teaching Geography,Jon Mueller,null,null
Teaching the History of Teaching Geography,Scott Beschta,null,null
Teaching the History of Teaching Geography,Scott Schoenbeck,null,null
Elephant,Chris Rosenau,null,null
Elephant,Jon Mueller,null,null
Elephant,Matt Tennessen,null,null
Realize It,Chris Rosenau,null,null
Realize It,Jon Mueller,null,null
Realize It,Matt Tennessen,null,null
The Nudes,Chris Rosenau,null,null
The Nudes,Jon Mueller,null,null
The Nudes,Matt Tennessen,null,null
Enemies,Chris Rosenau,null,null
Enemies,Jon Mueller,null,null
Enemies,Jon Minor,null,null
Enemies,Matt Tennessen,null,null
Drop Attack,Jon Minor,null,null
Drop Attack,Jon Mueller,null,null
Drop Attack,Chris Rosenau,null,null
Drop Attack,Matt Tennessen,null,null
Hagoo,Chris Rosenau,null,null
Hagoo,Jon Minor,null,null
Hagoo,Jon Mueller,null,null
Hagoo,Matt Tennessen,null,null
A Scuttled Bender in a Watery Closet,Scott Beschta,null,null
A Scuttled Bender in a Watery Closet,Scott Schoenbeck,null,null
A Scuttled Bender in a Watery Closet,Jon Mueller,null,null
A Scuttled Bender in a Watery Closet,Chris Rosenau,null,null
A Scuttled Bender in a Watery Closet,Matt Tennessen,null,null
A Scuttled Bender in a Watery Closet,Jon Minor,null,null
No More Songs About Sleep and Fire,Jim Valentin (James Valentin),null,null
No More Songs About Sleep and Fire,Rose Marshack,null,null
No More Songs About Sleep and Fire,Matt Friscia,null,null
No More Songs About Sleep and Fire,Rick Valentin,null,null
New World Record,Rick Valentin,null,null
New World Record,Howie Kantoff,null,null
New World Record,Jim Valentin (James Valentin),null,null
New World Record,Rose Marshack,null,null
RTFM,Howie Kantoff,null,null
RTFM,Jim Valentin (James Valentin),null,null
RTFM,Rose Marshack,null,null
RTFM,Rick Valentin,null,null
RTFM,Bryce Goggin,null,null
Junior Citizen,Brian Anderson,null,null
Junior Citizen,Mark Haines,null,null
Junior Citizen,Bryce Goggin,null,null
Junior Citizen,Howie Kantoff,null,null
Junior Citizen,Jim Valentin (James Valentin),null,null
Junior Citizen,Rose Marshack,null,null
Junior Citizen,Rick Valentin,null,null
Daisychain Reaction,Rick Valentin,null,null
Daisychain Reaction,Rose Marshack,null,null
Daisychain Reaction,Jeff Dimpsey,null,null
Daisychain Reaction,Bob Rising,null,null
Daisychain Reaction,Steve Albini,null,null
Sex Change,Sebastian Thomson,null,null
Sex Change,Nathan Means,null,null
Sex Change,Philip Manley,null,null
Sex Change,Aaron Prellwitz,null,null
Sex Change,Rachel Wakefield,null,null
Sex Change,Roy Martyn,null,null
Sex Change,Barry London,null,null
Sex Change,Grant Tennille,null,null
TA,Julian Thomson,null,null
TA,Jonathan Kreinek,null,null
TA,Sebastian Thomson,null,null
TA,Nathan Means,null,null
TA,Philip Manley,null,null
Surrender to the Night,John McEntire,null,null
Surrender to the Night,Sebastian Thomson,null,null
Surrender to the Night,Nathan Means,null,null
Surrender to the Night,Philip Manley,null,null
Mary Star of the Sea,William Patrick Corgan (Billy Corgan),null,null
Mary Star of the Sea,Paz Lenchantin,null,null
Mary Star of the Sea,Jimmy Chamberlin,null,null
Mary Star of the Sea,Matt Sweeney,null,null
Mary Star of the Sea,David Christian Pajo,null,null
Mary Star of the Sea,Rob Bochnik,null,null
Mary Star of the Sea,Greg Norman,null,null
Mary Star of the Sea,Mathieu LeJeune,null,null
Mary Star of the Sea,Manny A. Sanchez (Manny Sanchez),null,null
Mary Star of the Sea,Ron Lowe,null,null
Mary Star of the Sea,Bjorn Thorsrud,null,null
Honestly,Bjorn Thorsrud,null,null
Honestly,William Patrick Corgan (Billy Corgan),null,null
Honestly,Matt Sweeney,null,null
Honestly,David Christian Pajo,null,null
Honestly,Paz Lenchantin,null,null
Honestly,Jimmy Chamberlin,null,null
Honestly,Linda Strawberry,null,null
Didnt It Rain,Jason Molina,null,null
Didnt It Rain,Edan Cohen,null,null
Didnt It Rain,Matthew Schwed,null,null
Didnt It Rain,John Popovics,null,null
Didnt It Rain,Jim Krewson,null,null
Didnt It Rain,Matthew Derby,null,null
Didnt It Rain,Greg Castano,null,null
Didnt It Rain,Mike Brenner,null,null
Didnt It Rain,Jennie Benford,null,null
Axxess & Ace,Jason Molina,null,null
Axxess & Ace,Michael Krassner,null,null
Axxess & Ace,David Pavkovic,null,null
Axxess & Ace,Joseph Ferguson,null,null
Axxess & Ace,Geof Comings,null,null
Axxess & Ace,Julie Liu,null,null
Axxess & Ace,Edith Frost,null,null
The Magnolia Electric Co.,Jason Molina,null,null
The Magnolia Electric Co.,Jennie Benford,null,null
The Magnolia Electric Co.,Mike Brenner,null,null
The Magnolia Electric Co.,Jim Grabowski (Three Nickel Jim Grabowski),null,null
The Magnolia Electric Co.,Dan Macadam,null,null
The Magnolia Electric Co.,Jeff Panall,null,null
The Magnolia Electric Co.,Lawrence Peters,null,null
The Magnolia Electric Co.,Scout Niblett,null,null
The Magnolia Electric Co.,Dan Sullivan,null,null
The Magnolia Electric Co.,Rob Sullivan,null,null
The Magnolia Electric Co.,Steve Albini,null,null
Josephine,Jason Molina,null,null
Josephine,Jason Evans Groth (Jason Groth),null,null
Josephine,Michael Kapinus,null,null
Josephine,Mark Rice,null,null
Josephine,Peter Schreiner,null,null
Josephine,Jonathan Cargill,null,null
Josephine,Mike Brenner,null,null
Josephine,Wallace Cochran,null,null
Josephine,Jeffrey Stolz,null,null
Josephine,Steve Albini,null,null
Josephine,Greg Norman,null,null
Honey Bubble,Dan Bitney,null,null
Honey Bubble,Jim Hanson,null,null
Honey Bubble,Tony Jarvis,null,null
Honey Bubble,Steve Lewis,null,null
Honey Bubble,Bucky Pope,null,null
Honey Bubble,Steve Gassen,null,null
Honey Bubble,Doug Colson,null,null
He Sang His Didnt He Danced His Did,Tim Kinsella,null,null
He Sang His Didnt He Danced His Did,Elliot Dicks,null,null
Going to the Bone Church,Tim Kinsella,null,null
Going to the Bone Church,Nate Kinsella,null,null
Going to the Bone Church,Sam Zurick,null,null
Going to the Bone Church,Bobby Burg,null,null
Going to the Bone Church,Greg Norman,null,null
The Pink,Tim Kinsella,null,null
The Pink,Bobby Burg,null,null
The Pink,Nate Kinsella,null,null
The Pink,Sam Zurick,null,null
The Pink,Graeme Gibson,null,null
Owls,Mike Kinsella,null,null
Owls,Tim Kinsella,null,null
Owls,Victor Villareal,null,null
Owls,Sam Zurick,null,null
Owls,Steve Albini,null,null
I Do Perceive,Mike Kinsella,null,null
(The EP),Mike Kinsella,null,null
(The EP),Paul Koob,null,null
(The EP),Jenny Tabor,null,null
(The EP),Cale Parks,null,null
(The EP),Bob Hoffnar,null,null
No Good for No One Now,Mike Kinsella,null,null
Noyes,Victor Villareal,null,null
Noyes,Ryan Rapsys,null,null
Of Course,Greg Norman,null,null
Of Course,Russ Arbuthnot,null,null
Of Course,Bobby Burg,null,null
Of Course,Nate Kinsella,null,null
Of Course,Tim Kinsella,null,null
Of Course,Sam Zurick,null,null
Shock of Being,Bobby Burg,null,null
Shock of Being,Nate Kinsella,null,null
Shock of Being,Tim Kinsella,null,null
Shock of Being,Sam Zurick,null,null
Shock of Being,Steve Albini,null,null
Make Believe,Bobby Burg,null,null
Make Believe,Nate Kinsella,null,null
Make Believe,Tim Kinsella,null,null
Make Believe,Sam Zurick,null,null
Make Believe,Graeme Gibson,null,null
Crucifix/Swastika,Nate Kinsella,null,null
Crucifix/Swastika,Bobby Burg,null,null
Crucifix/Swastika,Tim Kinsella,null,null
Boo! Human,Tim Kinsella,null,null
Boo! Human,Mike Kinsella,null,null
Boo! Human,LeRoy Bach,null,null
Boo! Human,Bobby Burg,null,null
Boo! Human,Sam Zurick,null,null
Boo! Human,Paul Koob,null,null
Boo! Human,Ben Vida,null,null
Boo! Human,Todd Mattei,null,null
Boo! Human,Joshua Abrams,null,null
Boo! Human,Elizabeth Remis,null,null
Boo! Human,Liz Payne,null,null
Boo! Human,Mark Trecka,null,null
Boo! Human,Emmett Kelly,null,null
Boo! Human,Evan Hydzik,null,null
How Memory Works,Eric Bocek,null,null
How Memory Works,Jeremy Boyle,null,null
How Memory Works,Mike Kinsella,null,null
How Memory Works,Tim Kinsella,null,null
How Memory Works,Sam Zurick,null,null
How Memory Works,Marty Ackley,null,null
How Memory Works,Zach Fiocca,null,null
How Memory Works,Julie Pomerleau,null,null
How Memory Works,Griffin Rodriguez,null,null
How Memory Works,Casey Rice,null,null
How Memory Works,Elliot Dicks,null,null
Boo! Human,Graeme Gibson,null,null
Waiting on the Eclipse,Jeremy Jacobsen,null,null
Waiting on the Eclipse,John Herndon,null,null
Waiting on the Eclipse,LeRoy Bach,null,null
Waiting on the Eclipse,Bill Dolan,null,null
A Portable Model Of,Eric Bocek,null,null
A Portable Model Of,Jeremy Boyle,null,null
A Portable Model Of,Tim Kinsella,null,null
A Portable Model Of,Sam Zurick,null,null
A Portable Model Of,Mike Kinsella,null,null
A Portable Model Of,Ann-Marie Rounkle,null,null
A Portable Model Of,Jay Gabarck,null,null
A Portable Model Of,Ryan Rapsys,null,null
A Portable Model Of,Davey von Bohlen,null,null
A Portable Model Of,Nathaniel Braddock,null,null
A Portable Model Of,Azita Youssefi,null,null
A Portable Model Of,Elliot Dicks,null,null
A Portable Model Of,Casey Rice,null,null
Addicts and Drunks,Sam Zurick,null,null
Addicts and Drunks,Eric Bocek,null,null
Addicts and Drunks,Scott Schellhammer,null,null
Addicts and Drunks,Victor Villareal,null,null
Addicts and Drunks,Elliot Dicks,null,null
Addicts and Drunks,Joe Ferguson,null,null
Addicts and Drunks,Jon Taccona,null,null
Precious Blood,Eric Bocek,null,null
Precious Blood,Scott Schellhammer,null,null
Precious Blood,Victor Villareal,null,null
Precious Blood,Sam Zurick,null,null
Precious Blood,Elliot Dicks,null,null
Analphabetapolothology,Mike Kinsella,null,null
Analphabetapolothology,Tim Kinsella,null,null
Analphabetapolothology,Victor Villareal,null,null
Analphabetapolothology,Davey von Bohlen,null,null
Analphabetapolothology,Sam Zurick,null,null
Analphabetapolothology,Kevin J. Frank,null,null
Analphabetapolothology,Eric Bocek,null,null
Analphabetapolothology,Neal Jensen,null,null
Analphabetapolothology,Aaron Lipke,null,null
Analphabetapolothology,Shane Mason,null,null
Analphabetapolothology,Casey Rice,null,null
American Football,Mike Kinsella,null,null
American Football,Steve Lamos,null,null
American Football,Steve Holmes,null,null
The Wonder Show of the World,Will Oldham,null,null
The Wonder Show of the World,Phil Elverum,null,null
The Wonder Show of the World,Shahzad Ismaily,null,null
Unmap,Thomas Wincek,null,null
Unmap,Justin Vernon,null,null
Unmap,Daniel Spack,null,null
Unmap,Chris Rosenau,null,null
Unmap,Jon Mueller,null,null
Unmap,Jim Schoenecker,null,null
Midday b/w You Win,Will Oldham,null,null
Midday b/w You Win,Shahzad Ismaily,null,null
Mice Parade,Kristin (Anna) Valtysdottir,null,null);
Mice Parade,Laetitia Sadier,null,null
Mice Parade,Josh LaRue,null,null
Mice Parade,Jay Israelson,null,null
