album,artist,role,contribution
Millions Now Living Will Never Die,John Herndon,Band Member,None specified
Millions Now Living Will Never Die,Douglas McCombs,Band Member,None specified
Millions Now Living Will Never Die,John McEntire,Band Member,None specified
Millions Now Living Will Never Die,David Christian Pajo,Band Member,None specified
TNT,Dan Bitney,Band Member,None specified
TNT,John Herndon,Band Member,None specified
TNT,Douglas McCombs,Band Member,None specified
TNT,John McEntire,Band Member,None specified
TNT,David Christian Pajo,Band Member,None specified
TNT,Jeff Parker,Band Member,None specified
TNT,Popahna 'Poppy' Brandes,Guest Musician,Cello
TNT,Caitlin Horsmon,Guest Musician,Bassoon
TNT,Julie Liu,Guest Musician,Violin
TNT,Rob Mazurek,Guest Musician,Cornet
TNT,Sarah P. Smith,Guest Musician,Trombone
Its All Around You,Dan Bitney,Band Member,None specified
Its All Around You,John Herndon,Band Member,None specified
Its All Around You,Douglas McCombs,Band Member,None specified
Its All Around You,John McEntire,Band Member,None specified
Its All Around You,Jeff Parker,Band Member,None specified
Its All Around You,Kelly Hogan,Guest Musician,Vocals2)
In the Fishtank 5,Dan Bitney,Band Member,None specified
In the Fishtank 5,Douglas McCombs,Band Member,None specified
In the Fishtank 5,John McEntire,Band Member,None specified
In the Fishtank 5,John Herndon,Band Member,None specified
In the Fishtank 5,Rob Mazurek,Band Member,None specified
In the Fishtank 5,Jeff Parker,Band Member,None specified
In the Fishtank 5,Katherina Bornefeld (Katrin Ex),Band Member,None specified
In the Fishtank 5,Terrie Hessels (Terrie Ex),Band Member,None specified
In the Fishtank 5,Andy Moor (Andy Ex),Band Member,None specified
In the Fishtank 5,G.W. Sok,Band Member,None specified
In the Fishtank 5,Luc Luc (Luc Ex),Band Member,None specified
Beacons of Ancestorship,Dan Bitney,Band Member,None specified
Beacons of Ancestorship,John Herndon,Band Member,None specified
Beacons of Ancestorship,Douglas McCombs,Band Member,None specified
Beacons of Ancestorship,John McEntire,Band Member,None specified
Beacons of Ancestorship,Jeff Parker,Band Member,None specified
Above the Trees,Paul Duncan,Band Member,None specified
Above the Trees,Ken Champion,Guest Musician,Pedal Steel1, 2, 3, 4, 8, 9)
Above the Trees,Tim Daisy,Guest Musician,Trap Kit1 Percussion1 Drums9 Collapsable Drums10)
Above the Trees,Fred Lonberg-Holm,Guest Musician,Cello1, 2, 3, 4, 6, 9)
Above the Trees,Nate Swanson,Guest Musician,Violin1, 2, 3, 4, 9 Viola6)
Above the Trees,Chris Bear,Guest Musician,Drums2, 3, 4 Backing Vocals5)
Above the Trees,Josh Berman,Guest Musician,Trumpet2, 9, 10)
Above the Trees,Nathan Lepine,Guest Musician,Clarinet2, 9 Bass Clarinet9)
Above the Trees,Douglas McCombs,Guest Musician,Bass2, 3, 4)
Above the Trees,Joe Stickney,Guest Musician,Drums2, 5, 6D)rumble3 Syncopated Drums4 Shirts4)
Above the Trees,Adam Heathcott,Guest Musician,Computer3, 5 Modular Synth3, 5)
Above the Trees,Jess Stover,Guest Musician,Vocals3 Back Vocals6)
Above the Trees,David Daniell,Guest Musician,Drones5 Lead Guitar5, 6 B38 Piano Innards9)
Above the Trees,Adam Wills,Guest Musician,Lead Guitar6)
Wilderness,Archer Prewitt,Band Member,Vocals, Guitars, Piano, Mellotron, Vibes, Stylophone, Drums1, 11 Percussion
Wilderness,Mark Greenberg,Band Member,Bass, Vibes, Mellotron, Stylophone, Bell Piano, Organ
Wilderness,Dave Max Crawford,Band Member,Pianos, Mellotron, Synthesizer, Organ, Trumpet, Horn Arrangements, String Arrangements
Wilderness,Chris Manfrin,Band Member,Drums
Wilderness,Susan Vöelz,Guest Musician,Violin
Wilderness,Fred Lonberg-Holm,Guest Musician,Cello
Wilderness,Richard Parenti,Guest Musician,Saxophones
Wilderness,Nick Broste,Guest Musician,Trombone
Wilderness,Jeremy Lemos,Production or Other,Engineering, Recording
Wilderness,Barry Phipps,Production or Other,Additional Recording
Three,Archer Prewitt,Band Member,Vocals, Guitar, Synthesizer, Mellotron, Percussion
Three,Mark Greenberg,Band Member,Bass, Stylophone, Vibraphone
Three,Dave Max Crawford,Band Member,Organ, Piano, Synthesizer, Harpsichord, Brass
Three,Paul Mertens,Band Member,Flutes, Saxophones, Bass Harmonica, String Arrangements
Three,Steve Goulding,Band Member,Drums
Three,Chris Manfrin,Guest Musician,Drums
Three,Susan Vöelz,Guest Musician,Violin
Three,Alison Chesley,Guest Musician,Cello
Three,Ted Cho,Guest Musician,Guitar
Three,Matt Clark,Guest Musician,Guitar
Three,Ben Utley,Guest Musician,Guitar
Three,Noel Kupersmith,Guest Musician,Upright Bass
Three,Kelly Hogan,Guest Musician,Vocals
Three,Nora O'Connor,Guest Musician,Vocals
Three,Kenny Sluiter,Production or Other,Engineering, Recording
White Sky,Archer Prewitt,Band Member,Guitars, Vocals, Glockenspiel, Tambourine, Horn Arrangements, Percussion, Mellotron, Harmonica, Piano, String Arrangements, Clavinette
White Sky,Paul Mertens,Band Member,Saxophones, Clarinet, Flute, Harmonica, Horn Arrangements, String Arrangements
White Sky,Mark Greenberg,Band Member,Bass, Vocals, Triangle
White Sky,Dave Max Crawford,Band Member,Organ, Trumpet, Electric Piano, Horn Arrangements
White Sky,Steve Goulding,Band Member,Drums
White Sky,Susan Vöelz,Guest Musician,Violin1, 3, 4, 8)
White Sky,Inger Carle,Guest Musician,Violin1, 3, 4, 8)
White Sky,Alison Chesley,Guest Musician,Cello1, 3, 4, 8)
White Sky,Shelley Weiss,Guest Musician,Viola1, 3, 4, 8)
White Sky,Corey Greenberg,Guest Musician,Lead Guitar4, 6, 7 Raw Guitar7)
White Sky,Kenny Sluiter,Guest Musician,Clavinette2 Drone Guitar7)
White Sky,Edith Frost,Guest Musician,Vocals4, 5, 9)
In the Sun,Archer Prewitt,Band Member,Guitars, Vocals, Bass, E-Bow Guitars, Organ, Claps, Percussion, Drums, Tambourine, Roland OC-1, Pump Organ
In the Sun,Steve Goulding,Band Member,Drums, Pot Lid, Claps
In the Sun,Chris Ware,Guest Musician,Piano1 Electric Piano5)
In the Sun,Matt Robinson,Guest Musician,Guitar Solo2)
In the Sun,Kenny Sluiter,Guest Musician,Claps3, 7 Vocals7)
In the Sun,Mark Greenberg,Band Member,Bass, Drums, Claps
In the Sun,Jesse Peterson,Guest Musician,Violin4, 10, 11)
In the Sun,Nat Crawford,Guest Musician,Violin4, 10, 11)
In the Sun,Marina Peterson,Guest Musician,Cello4, 10, 11)
In the Sun,Darcy Vaughn,Guest Musician,Viola4, 10, 11)
In the Sun,Paul Mertens,Guest Musician,Tenor Saxophone4 Alto Flute9, 10, 11 Clarinet9, 11 Bass Clarinet9 Flute9 Horns12)
In the Sun,Dave Max Crawford,Guest Musician,Trumpets4, 8, 10 Horns12)
In the Sun,Ross Reed,Guest Musician,Trombone4 Horns12)
In the Sun,John Upchurch (Upturch),Guest Musician,Bass Clarinet4 Guitar9 Horns12)
In the Sun,Popahna 'Poppy' Brandes,Guest Musician,Cello9, 11)
Whos Your New Professor,Sam Prekop,Band Member,Vocals, Guitar, Piano
Whos Your New Professor,Joshua Abrams,Band Member,Acoustic Bass, Electric Bass, Acoustic Piano, Electric Piano
Whos Your New Professor,Rob Mazurek,Band Member,Cornet
